Title,Year,Link,Episodes,Aired,Aired_start,Aired_end,AiredOn,Duration,Duration_min,ContentRating,RatingScore,RatingVotes,WatchPlatforms,Format,Genres,Tags,Director,Screenwriter,Ranked,Popularity,Watchers,Has_dubbing_prob,Has_dubbing_pred
When the Stars Gossip,2025,https://mydramalist.com/686405-ask-the-stars,16,"Jan  4, 2025 - Feb 23, 2025","Jan  4, 2025","Feb 23, 2025","Saturday, Sunday",1 hr. 10 min.,70,15+ - Teens 15 or older,6.6,7260,Netflix,Standard Series,"Comedy, Romance, Drama, Sci-Fi","Love Hexagon, Astronaut Female Lead, Space Exploration, Age Gap [Real Life], Space Travel, Outer Space, Infidelity, Doctor Male Lead, Gynecologist Male Lead, Strict Female Lead, (Vote tags)","Park Shin Woo, Kim Jin Seong",Seo Sook Hyang,11515,808,7260,1,1
The Sweet Blood,2021,https://mydramalist.com/70629-the-sweet-blood,15,"Mar 24, 2021 - May 12, 2021","Mar 24, 2021","May 12, 2021","Wednesday, Saturday",10 min.,10,15+ - Teens 15 or older,6.6,7314,"Apple TV+, Viki, WeTV",Standard Series,"Romance, Youth, Supernatural","Blood, High School, Interspecies Romance, Web Series, Vampire Fiction, Vampire Female Lead, Reverse-Harem, Nice Male Lead, Hidden Identity, Short Length Series, (Vote tags)",Ha Han Me,Hwang Da Seul,11358,1248,7314,0.75,1
The Impossible Heir,2024,https://mydramalist.com/742187-royal-loader,12,"Feb 28, 2024 - Apr  3, 2024","Feb 28, 2024","Apr  3, 2024",Wednesday,1 hr. 1 min.,61,15+ - Teens 15 or older,6.6,8445,"Disney+, Hulu",Standard Series,"Thriller, Business, Drama, Political","Class Conflict, Power Struggle, Conglomerate, Conspiracy, Partners' Relationship, Competitive Male Lead, Chairman/Chairwoman Supporting Character, Heir/Heiress Supporting Character, Morally Ambiguous Male Lead, Ambitious Female Lead, (Vote tags)",Min Yeon Hong,Choi Won,11352,620,8445,1,1
Between Him and Her,2023,https://mydramalist.com/749889-man-and-woman,12,"Dec 26, 2023 - Mar 15, 2024","Dec 26, 2023","Mar 15, 2024",Friday,60 min.,60,15+ - Teens 15 or older,6.6,748,"Netflix, Viki",Standard Series,"Romance, Youth, Drama","Merchandise Director Supporting Character, Jewelry Industry, Co-workers' Relationship, Best Friends' Relationship, Classmates' Relationship, Jewelry Designer Supporting Character, Jewelry Designer Female Lead, Fashion Designer Male Lead, Influencer Supporting Character, Model Supporting Character, (Vote tags)",Lee Yoo Yeon,,11353,4732,748,1,1
Eccentric Romance,2024,https://mydramalist.com/730163-pt-is-love,12,"Oct 10, 2024 - Nov 14, 2024","Oct 10, 2024","Nov 14, 2024",Thursday,15 min.,15,15+ - Teens 15 or older,6.6,3068,Viki,Standard Series,"Mystery, Comedy, Romance, Youth","School Setting, Gay Male Lead, Gay Romance, Multilingual, Jealous Male Lead, Co-produced, University, LGBTQ+, Death, Web Series, (Vote tags)",Read More,,11476,2210,3068,0.56,0
Chicken Nugget,2024,https://mydramalist.com/707561-chicken-gangjeong,10,"Mar 15, 2024","Mar 15, 2024",,Friday,32 min.,32,15+ - Teens 15 or older,6.6,5271,Netflix,Standard Series,"Mystery, Comedy, Fantasy","Sci-Fi, Adapted From A Webtoon, Body Transformation, Intern Male Lead, Middle-Aged Male Lead, Small Business, Secret Crush, Secret, Miniseries, Pre-Produced, (Vote tags)",,,11431,1555,5271,1,1
In Your Dream,2020,https://mydramalist.com/51707-in-your-dream,8,"Jun 15, 2020 - Aug  3, 2020","Jun 15, 2020","Aug  3, 2020",Monday,10 min.,10,15+ - Teens 15 or older,6.6,45,"Amazon Prime Video, Tubi",Standard Series,"Romance, Drama","Adapted From A Webtoon, Café Setting, Café Owner Male Lead, Short Length Series, Chasing A Dream, Energetic Female Lead, Web Movie, Shy Male Lead, Car Accident, Secret Crush, (Vote tags)",,,54449,11980,45,0.48,0
Your Playlist,2021,https://mydramalist.com/711547-your-playlist,8,"Oct 15, 2021 - Nov  5, 2021","Oct 15, 2021","Nov  5, 2021",Friday,10 min.,10,G - All Ages,6.6,735,Viki,Standard Series,"Music, Romance, Youth","Teenager Female Lead, Teenager Male Lead, High School, Friendship, Character Development, Short Length Series, Miniseries, Web Series, Student Supporting Character, Student Female Lead, (Vote tags)",Kwak Bong Cheol,,11382,6429,735,0.35,0
Star With a Secret,2020,https://mydramalist.com/685047-my-secret-star,5,"Dec 27, 2020 - Dec 31, 2020","Dec 27, 2020","Dec 31, 2020","Monday, Tuesday, Wednesday, Thursday, Sunday",15 min.,15,Not Yet Rated,6.6,1215,Viki,Standard Series,"Comedy, Romance, Fantasy, Supernatural","Secret, Haphephobia, Famous Male Lead, Entertainment Industry, Web Series, Idol Male Lead, Actor Male Lead, Reporter Female Lead, Co-produced, Short Length Series, (Vote tags)",,,11397,5261,1215,0.28,0
My Merry Marriage,2024,https://mydramalist.com/776431-let-s-get-married-toad,125,"Oct  7, 2024 - Apr  8, 2025","Oct  7, 2024","Apr  8, 2025","Monday, Tuesday, Wednesday, Thursday, Friday",30 min.,30,15+ - Teens 15 or older,6.7,303,Viki,Standard Series,"Romance, Family","Marketing Director Male Lead, Fashion Designer Female Lead, Doctor Male Lead, (Vote tags)",Kim Sung Geun,Song Jung Rim,11203,6397,303,0.53,0
The All-Round Wife,2021,https://mydramalist.com/704533-national-team-wife,122,"Oct  4, 2021 - Apr  8, 2022","Oct  4, 2021","Apr  8, 2022","Monday, Tuesday, Wednesday, Thursday, Friday",35 min.,35,15+ - Teens 15 or older,6.7,129,"Amazon Prime Video, Viki",Standard Series,"Drama, Family, Melodrama",(Vote tags),Choi Ji Yeong,Kim Ji Wan,53663,11896,129,0.57,0
Elegant Empire,2023,https://mydramalist.com/753279-elegant-empire,105,"Aug  7, 2023 - Jan 19, 2024","Aug  7, 2023","Jan 19, 2024","Monday, Tuesday, Wednesday, Thursday, Friday",40 min.,40,15+ - Teens 15 or older,6.7,277,Viki,Standard Series,"Romance, Drama","Married Female Lead, Married Male Lead, Secret, Entertainment Industry, Revenge, Rich Male Lead, Difficult Adulthood, Chairman Male Lead, Actor Male Lead, Family Separation, (Vote tags)",Park Gi Ho,Han Young Mi,11159,6485,277,0.46,0
When I Was the Most Beautiful,2020,https://mydramalist.com/54445-when-i-was-the-most-beautiful,32,"Aug 19, 2020 - Oct 15, 2020","Aug 19, 2020","Oct 15, 2020","Wednesday, Thursday",35 min.,35,15+ - Teens 15 or older,6.7,2131,Viki,Standard Series,"Romance, Drama, Melodrama","Love Triangle, Older Woman/Younger Man, Jealousy, Student-Teacher Relationship, Love At First Sight, Naive Female Lead, Prince Syndrome, Innocent Male Lead, First Love, Optimistic Female Lead, (Vote tags)","Oh Kyung Hoon, Song Yeon Hwa",Jo Hyun Kyung,11289,2351,2131,0.25,0
Oh My Ladylord,2021,https://mydramalist.com/69915-oh-master,16,"Mar 24, 2021 - May 13, 2021","Mar 24, 2021","May 13, 2021","Wednesday, Thursday",1 hr. 20 min.,80,15+ - Teens 15 or older,6.7,4469,"Amazon Prime Video, iQIYI",Standard Series,"Comedy, Romance, Fantasy, Melodrama","Cohabitation, Roommates' Relationship, Screenwriter Male Lead, Actress Female Lead, Doctor Supporting Character, Dysfunctional Family, Mental Illness, Tearjerker, Obsessive-compulsive Disorder (OCD), Illness, (Vote tags)",Oh Da Young,Jo Jin Kook,11190,1491,4469,0.55,0
Lover of the Palace,2020,https://mydramalist.com/56937-lovers-at-the-palace,10,"Jan  3, 2020 - Jan 17, 2020","Jan  3, 2020","Jan 17, 2020",,10 min.,10,Not Yet Rated,6.7,365,Viki,Standard Series,"Comedy, Romance","Web Series, Shy Male Lead, Miniseries, Past And Present, School Bullying, Tourism Industry, Childhood Friends' Relationship, Short Length Series, Anxiety, Sisters' Relationship, (Vote tags)",,,11292,9908,365,0.28,0
Star Struck,2023,https://mydramalist.com/706227-star-struck,8,"May 18, 2023 - Jun  8, 2023","May 18, 2023","Jun  8, 2023",Thursday,17 min.,17,15+ - Teens 15 or older,6.7,7641,iQIYI,Standard Series,"Romance, Youth","Jealous Male Lead, Possessive Male Lead, Gay Male Lead, Gay Romance, Friendship, High School To College, Poor Male Lead, Best Friends' Relationship, LGBTQ+, Miniseries, (Vote tags)","Park Sun Jae, Kim Hoon Gwang",Jung Hyun Woo,11146,1331,7641,0.44,0
Behind Cut,2021,https://mydramalist.com/716263-behind-cut,8,"Dec 28, 2021 - Jan 19, 2022","Dec 28, 2021","Jan 19, 2022","Tuesday, Wednesday",15 min.,15,15+ - Teens 15 or older,6.7,9505,Viki,Standard Series,Romance,"Gay Romance, LGBTQ+, Modeling, Miniseries, Nice Male Lead, Fast Paced Romance, Unrequited Love, Love Triangle, Fashion Designer Male Lead, Model Supporting Character, (Vote tags)",Han Woo Im,,11115,1213,9505,0.35,0
Ocean Likes Me,2022,https://mydramalist.com/717537-ocean-like-me,8,"Apr 26, 2022 - May 18, 2022","Apr 26, 2022","May 18, 2022","Tuesday, Wednesday",15 min.,15,13+ - Teens 13 or older,6.7,7627,Viki,Standard Series,"Food, Romance, Drama","Chef Male Lead, Gay Male Lead, Gay Romance, LGBTQ+, Miniseries, Entrepreneur Male Lead, Short Length Series, Shy Male Lead, Musician Male Lead, Web Series, (Vote tags)",Lee Su Ji,Team Wol Pi Dong,11211,1309,7627,0.42,0
Blossom Campus,2024,https://mydramalist.com/757269-blossom-campus,6,"May 16, 2024","May 16, 2024",,Thursday,25 min.,25,Not Yet Rated,6.7,3020,iQIYI,Standard Series,"Romance, Youth","Energetic Male Lead, Student Male Lead, School Setting, Gay Male Lead, Gay Romance, University, LGBTQ+, Miniseries, Transfer Student Male Lead, Professor Supporting Character, (Vote tags)",Kang Woo,,11229,2504,3020,0.51,0
How Are You Bread,2020,https://mydramalist.com/18466-how-are-you-bread,5,"Jan 17, 2020 - Feb 15, 2020","Jan 17, 2020","Feb 15, 2020",Saturday,42 min.,42,13+ - Teens 13 or older,6.7,2232,Viki,Standard Series,"Food, Romance, Drama, Fantasy","First Love, Adapted From A Webtoon, Healing, Trauma, Competition, Supernatural, Rivalry, Abusive Parent, Patissier Male Lead, Writer Female Lead, (Vote tags)",Kim Young Joon,"Kang Soo Yeon, Wei Jun",11175,2624,2232,0.28,0
Scene Number Paran,2020,https://mydramalist.com/58441-scene-number-paran,3,"Mar  1, 2020 - Mar  8, 2020","Mar  1, 2020","Mar  8, 2020",,11 min.,11,13+ - Teens 13 or older,6.7,64,Viki,Standard Series,"Comedy, Romance, Youth","Student Female Lead, Student Male Lead, School Setting, Young Adult Female Lead, Young Adult Male Lead, Short Length Series, Filmmaking, University, Mathematics, Miniseries, (Vote tags)",Jung Sung Bin,Ahn Se Hwa,53900,21326,64,0.28,0
Drama Special Season 13: Underwear Season,2022,https://mydramalist.com/736215-drama-special-season-13-panties-season,1,"Dec 14, 2022","Dec 14, 2022",,Thursday,1 hr. 4 min.,64,15+ - Teens 15 or older,6.7,69,"Amazon Prime Video, Viki",Drama Special,"Comedy, Drama","Clothing Industry, Startup, Company President (CEO) Male Lead, Small Business, Smart Male Lead, (Vote tags)",Choi Jung Eun,Lee Ji Woo,53633,99999,69,0.67,1
SF8: Empty Body,2020,https://mydramalist.com/58171-sf8,1,"Oct  9, 2020","Oct  9, 2020",,Friday,53 min.,53,15+ - Teens 15 or older,6.7,451,Viki,Drama Special,"Sci-Fi, Family","Adapted From A Short Story, (Vote tags)",,,11208,9763,451,0.28,0
Apple of My Eye,2023,https://mydramalist.com/748577-my-gold-my-jade,121,"Mar 27, 2023 - Sep 15, 2023","Mar 27, 2023","Sep 15, 2023","Monday, Tuesday, Wednesday, Thursday, Friday",30 min.,30,15+ - Teens 15 or older,6.8,311,Viki,Standard Series,"Romance, Family, Melodrama","Single Father Male Lead, Harassment, Hardworking Male Lead, Family Relationship, Father-Daughter Relationship, Nice Male Lead, Slow Burn Romance, (Vote tags)",Choi Ji Yeong,"Chae Hye Young, Baek Eun Jung, Yoo Sang Young",10868,9410,311,0.46,0
Woman in a Veil,2023,https://mydramalist.com/745297-secret-woman,103,"Mar 14, 2023 - Aug  4, 2023","Mar 14, 2023","Aug  4, 2023","Monday, Tuesday, Wednesday, Thursday, Friday",40 min.,40,15+ - Teens 15 or older,6.8,265,Viki,Standard Series,"Thriller, Romance, Drama, Melodrama","Dishonest Female Lead, Mean In-Law, Married Female Lead, Married Male Lead, Death Of A Mother, Office Worker Female Lead, Heiress Female Lead, Secretary Supporting Character, Company President (CEO) Male Lead, Blind Female Lead, (Vote tags)",Shin Chang Seok,Lee Jung Dae,10896,8634,265,0.46,0
A Time to Remember,2021,https://mydramalist.com/707493-time-of-memory,20,"Dec 28, 2021 - Jan  1, 2022","Dec 28, 2021","Jan  1, 2022",,10 min.,10,Not Yet Rated,6.8,342,"Amazon Prime Video, Apple TV+, Viki",Standard Series,"Romance, Fantasy","Short Length Series, Famous Male Lead, Hyperthymesia, Web Series, (Vote tags)",,,11063,7821,342,0.92,1
The Interest of Love,2022,https://mydramalist.com/724275-understanding-love,16,"Dec 21, 2022 - Feb  9, 2023","Dec 21, 2022","Feb  9, 2023","Wednesday, Thursday",1 hr. 16 min.,76,Not Yet Rated,6.8,8117,Netflix,Standard Series,"Romance, Life, Drama, Melodrama","Love Square, Workplace Romance, Slow Burn Story, Co-workers' Relationship, Workplace Setting, Cold Female Lead, Bank Setting, Bank Teller Female Lead, Banker Male Lead, Rich Female Lead, (Vote tags)",Jo Young Min,"Lee Hyun Jung, Lee Seo Hyun",10907,1028,8117,0.87,1
"Now, We Are Breaking Up",2021,https://mydramalist.com/62841-i-m-breaking-up-now,16,"Nov 12, 2021 - Jan  8, 2022","Nov 12, 2021","Jan  8, 2022","Friday, Saturday",60 min.,60,15+ - Teens 15 or older,6.8,9346,Viki,Standard Series,"Romance, Drama, Melodrama","Older Woman/Younger Man, Age Gap [Drama Life], Cold Female Lead, Age Gap [Real Life], Forbidden Love, Photography, Smart Male Lead, Multiple Couples, Fate, Freelancer Male Lead, (Vote tags)",Lee Gil Bok,Je In,10951,709,9346,0.35,0
Sweet Munchies,2020,https://mydramalist.com/33431-midnight-snack-men-women,12,"May 25, 2020 - Jun 30, 2020","May 25, 2020","Jun 30, 2020","Monday, Tuesday",1 hr. 5 min.,65,15+ - Teens 15 or older,6.8,2125,"Apple TV+, Netflix, Viki",Standard Series,"Food, Comedy, Romance, Life","Pretends To Be Gay, Oblivious Male Lead, Love Triangle, Unrequited Love, LGBTQ+, Friendship, Closeted Male Lead, Restaurant Setting, Producer Female Lead, Fashion Designer Male Lead, (Vote tags)",Song Ji Won,Park Seung Hye,10854,2811,2125,1,1
The Villain of Romance,2023,https://mydramalist.com/752421-the-villain-of-romance,10,"Jun  5, 2023 - Jun 27, 2023","Jun  5, 2023","Jun 27, 2023","Monday, Tuesday",45 min.,45,15+ - Teens 15 or older,6.8,200,"Hulu, Viki",Standard Series,Romance,"School Setting, University, Miniseries, Coming Of Age, (Vote tags)",,,10942,8084,200,0.54,0
Bubble Up,2022,https://mydramalist.com/680629-bubble-up,10,"Apr  4, 2022 - Apr  5, 2022","Apr  4, 2022","Apr  5, 2022",Monday,15 min.,15,15+ - Teens 15 or older,6.8,148,Viki,Standard Series,"Romance, Life, Youth, Drama","Miniseries, Web Series, University, Emotionally Strong Female Lead, School Setting, Short Length Series, (Vote tags)",,,52284,13018,148,0.42,0
Twelve,2025,https://mydramalist.com/756749-twelve,8,"Aug 23, 2025 - Sep 14, 2025","Aug 23, 2025","Sep 14, 2025","Saturday, Sunday",45 min.,45,Not Yet Rated,6.8,1013,"Disney+, Hulu",Standard Series,"Action, Adventure, Fantasy, Supernatural","Supernatural Being-Human Relationship, Special Ability, Demon Male Lead, Angel Female Lead, Angel Male Lead, Superhero Male Lead, Team Leader Male Lead, Age Gap [Real Life], Nurse Male Lead, Evil Male Lead, (Vote tags)",Kang Dae Gyu,"Ma Dong Seok, Kim Bong Han",10899,1255,1013,1,1
Bump Up Business,2023,https://mydramalist.com/743233-bump-up-business,8,"Oct 20, 2023","Oct 20, 2023",,Friday,15 min.,15,15+ - Teens 15 or older,6.8,7240,iQIYI,Standard Series,"Music, Romance","Co-workers' Relationship, Idol Male Lead, Gay Male Lead, Gay Supporting Character, Gay Romance, Entertainment Industry, LGBTQ+, Nice Male Lead, Innocent Male Lead, Adapted From A Webtoon, (Vote tags)",Lee Chang Han,,10968,1456,7240,0.44,0
Color Rush Season 2,2022,https://mydramalist.com/706273-color-rush-season-2,8,"Jan 21, 2022","Jan 21, 2022",,Friday,15 min.,15,15+ - Teens 15 or older,6.8,8481,Viki,Standard Series,"Thriller, Mystery, Youth","LGBTQ+, Color Blindness, Friendship, Gay Male Lead, Miniseries, Web Series, Kidnapping, Investigation, Short Length Series, Flashback To Past, (Vote tags)",,,10806,1157,8481,0.42,0
Kissable Lips,2022,https://mydramalist.com/709085-i-wanna-bite-it,8,"Feb  3, 2022 - Feb 25, 2022","Feb  3, 2022","Feb 25, 2022","Thursday, Friday",11 min.,11,13+ - Teens 13 or older,6.8,21085,Viki,Standard Series,"Romance, Youth, Supernatural","Gay Romance, LGBTQ+, Miniseries, Gay Male Lead, Short Length Series, Web Series, Supernatural Being-Human Relationship, Student Male Lead, Vampire Male Lead, Fast Paced Romance, (Vote tags)",Yang Kyung Hee,Lee Yeon Joo,11037,507,21085,0.47,0
Oh! My Assistant,2022,https://mydramalist.com/732279-oh-my-assistant,8,"Dec  1, 2022 - Dec 23, 2022","Dec  1, 2022","Dec 23, 2022","Thursday, Friday",15 min.,15,Not Yet Rated,6.8,10078,Viki,Standard Series,"Comedy, Romance","Bisexual Male Lead, LGBTQ+, Adapted From A Webtoon, Spring Setting, Personal Assistant Male Lead, Manhua Artist Male Lead, Age Gap [Real Life], Gay Male Lead, Short Length Series, Gay Romance, (Vote tags)",Joo Sung Min,Jung Yoo Kyung,11001,1192,10078,0.42,0
Drama Special Season 13: TV Cinema - Devil in the Lake,2022,https://mydramalist.com/736203-cinematic-ear-nail,1,"Dec 22, 2022","Dec 22, 2022",,Wednesday,1 hr. 51 min.,111,15+ - Teens 15 or older,6.8,190,"Amazon Prime Video, Tubi, Viki",Drama Special,"Thriller, Mystery, Horror, Supernatural","Crime Against A Property, Haunted House Setting, Superstitious Female Lead, Neurodevelopmental Disorder, Rich Woman/Poor Woman, Post-traumatic Stress Disorder (PTSD), Fearful Female Lead, Protective Female Lead, Village Setting, Female Centered Plot, (Vote tags)",,,10794,13739,190,0.72,1
The Third Marriage,2023,https://mydramalist.com/757137-the-third-marriage,132,"Oct 23, 2023 - May  3, 2024","Oct 23, 2023","May  3, 2024","Monday, Tuesday, Wednesday, Thursday, Friday",35 min.,35,15+ - Teens 15 or older,6.9,416,Viki,Standard Series,"Romance, Melodrama","Revenge, (Vote tags)",Lee Jae Jin,Seo Hyun Joo,10774,6890,416,0.46,0
The Witch's Game,2022,https://mydramalist.com/735169-the-witch-s-game,119,"Oct 11, 2022 - Apr 14, 2023","Oct 11, 2022","Apr 14, 2023","Monday, Tuesday, Wednesday, Thursday, Friday",35 min.,35,15+ - Teens 15 or older,6.9,293,Viki,Standard Series,"Mystery, Drama","Manager Female Lead, Manager Male Lead, Female Centered Plot, Married Female Lead, Chairwoman Female Lead, Heir Male Lead, Secretary Supporting Character, Company President (CEO) Female Lead, Age Gap [Real Life], Motherhood, (Vote tags)",Lee Hyung Sun,Lee Do Hyeon,10717,7263,293,0.39,0
