Title,Year,Link,Episodes,Aired,Aired_start,Aired_end,AiredOn,OriginalNetwork,Duration,Duration_min,ContentRating,RatingScore,RatingVotes,WatchPlatforms,Format,Genres,Tags,Director,Screenwriter,Ranked,Popularity,Watchers,Has_dubbing_prob,Has_dubbing_pred
18 Again,2020,https://mydramalist.com/52941-eighteen-again,16,"Sep 21, 2020 - Nov 10, 2020","Sep 21, 2020","Nov 10, 2020","Monday, Tuesday",,1 hr. 10 min.,70,15+ - Teens 15 or older,8.6,45239,"Max, Netflix, WeTV, iQIYI",Standard Series,"Romance, Life, Drama, Fantasy","First Love, Father-Son Relationship, Father-Daughter Relationship, Hardworking Female Lead, Mother-Daughter Relationship, Life Lesson, Becoming Young, Hidden Identity, Character Development, Teenage Pregnancy, (Vote tags)",Ha Byung Hoon,"Kim Do Yeon, Ahn Eun Bin, Choi Yi Ryun",374,99,45239,1,1
Crash Landing on You Special: Lunar New Year,2020,https://mydramalist.com/60399-crash-landing-on-you-special-lunar-new-year,1,"Jan 25, 2020","Jan 25, 2020",,Saturday,,60 min.,60,15+ - Teens 15 or older,8.6,1713,,Drama Special,Documentary,"Behind The Scenes, Interview, (Vote tags)",,,408,3722,1713,0.23,0
Mr. Queen Special,2020,https://mydramalist.com/682549-mr-queen-special,1,"Dec  3, 2020","Dec  3, 2020",,Thursday,,25 min.,25,Not Yet Rated,8.5,1279,,Drama Special,Documentary,"Behind The Scenes, (Vote tags)",,,492,4911,1279,0.23,0
Once Again,2020,https://mydramalist.com/44611-i-have-been-there-once,100,"Mar 28, 2020 - Sep 13, 2020","Mar 28, 2020","Sep 13, 2020","Saturday, Sunday",,35 min.,35,15+ - Teens 15 or older,8.5,6869,"Apple TV+, Netflix, Viki",Standard Series,"Comedy, Romance, Life, Drama","Family Relationship, Big Family, Multiple Couples, Love/Hate Relationship, Multiple Mains, Bickering Mains' Relationship, Married Life, Second Chance Romance, Secret Romance, Debt, (Vote tags)",Lee Jae Sang,Yang Hee Seung,496,1169,6869,1,1
Stranger Season 2,2020,https://mydramalist.com/27361-stranger-2,16,"Aug 15, 2020 - Oct  4, 2020","Aug 15, 2020","Oct  4, 2020","Saturday, Sunday",,1 hr. 2 min.,62,15+ - Teens 15 or older,8.5,11617,Netflix,Standard Series,"Thriller, Mystery, Law, Drama","Corruption, Calm Male Lead, Smart Male Lead, Suspense, Emotional Blunting, Power Struggle, Alexithymia, Sassy Female Lead, Smart Female Lead, Prosecution, (Vote tags)",Park Hyun Suk,Lee Su Yeon,524,844,11617,0.78,1
"Hi Bye, Mama!",2020,https://mydramalist.com/49809-hello-mom,16,"Feb 22, 2020 - Apr 19, 2020","Feb 22, 2020","Apr 19, 2020","Saturday, Sunday",,1 hr. 10 min.,70,15+ - Teens 15 or older,8.5,25448,Netflix,Standard Series,"Drama, Family, Melodrama, Supernatural","Mother-Daughter Relationship, Nice Female Lead, Death, Reincarnation, Sismance, Ghost, Heartbreak, Father-Daughter Relationship, Tearjerker, Ghost-seeing Female Lead, (Vote tags)",Yoo Je Won,"Kwon Hye Joo, Im Yeon Soo",531,282,25448,0.83,1
Mystic Pop-Up Bar,2020,https://mydramalist.com/34539-ssang-gap-pocha,12,"May 20, 2020 - Jun 25, 2020","May 20, 2020","Jun 25, 2020","Wednesday, Thursday",,1 hr. 8 min.,68,15+ - Teens 15 or older,8.5,30125,Netflix,Standard Series,"Mystery, Comedy, Drama, Fantasy","Afterlife, Grudge, Hot-tempered Female Lead, Spirit, Adapted From A Webtoon, Family Relationship, Flashback To Past, Food, Innocent Male Lead, Revenge, (Vote tags)",Jun Chang Geun,Ha Yoon Ah,600,225,30125,0.83,1
365: Repeat the Year,2020,https://mydramalist.com/50717-365-one-year-against-destiny,24,"Mar 23, 2020 - Apr 28, 2020","Mar 23, 2020","Apr 28, 2020","Monday, Tuesday",,35 min.,35,15+ - Teens 15 or older,8.5,11436,Viki,Standard Series,"Thriller, Mystery, Drama, Fantasy","Time Travel, Nice Male Lead, Suspense, Murder, Fate, Supernatural, Investigation, Slight Romance, Bromance, Smart Female Lead, (Vote tags)",Kim Kyung Hee,"Lee Seo Yoon, Lee Soo Kyung",601,601,11436,0.3,0
Nobody Knows,2020,https://mydramalist.com/35205-nobody-knows,16,"Mar  2, 2020 - Apr 21, 2020","Mar  2, 2020","Apr 21, 2020","Monday, Tuesday",,1 hr. 10 min.,70,15+ - Teens 15 or older,8.5,5663,Viki,Standard Series,"Thriller, Mystery, Drama, Melodrama","Smart Female Lead, Murder, Trauma, Death, Unusual Friendship, Calm Female Lead, Friendship, Self-harm, Conspiracy, Coma, (Vote tags)",Lee Jung Heum,Kim Eun Hyang,643,892,5663,0.33,0
Kairos,2020,https://mydramalist.com/58337-kairos,16,"Oct 26, 2020 - Dec 22, 2020","Oct 26, 2020","Dec 22, 2020","Monday, Tuesday",,1 hr. 10 min.,70,15+ - Teens 15 or older,8.4,7333,"Apple TV+, Viki",Standard Series,"Action, Thriller, Drama, Sci-Fi","Time Altering, Past And Present, Gaslighting, Family Secret, Rich Male Lead, Hardworking Male Lead, Different Timelines, Smart Male Lead, Mother-Daughter Relationship, Father-Daughter Relationship, (Vote tags)","Park Seung Woo, Sung Chi Wook",Lee Su Hyeon,654,911,7333,0.68,1
Itaewon Class,2020,https://mydramalist.com/33898-itaewon-class,16,"Jan 31, 2020 - Mar 21, 2020","Jan 31, 2020","Mar 21, 2020","Friday, Saturday",,1 hr. 10 min.,70,15+ - Teens 15 or older,8.4,93199,Netflix,Standard Series,"Business, Romance, Life, Drama","Revenge, Time Skip, Smart Female Lead, Female Chases Male First, Badass Female Lead, Boss-Employee Relationship, Nice Male Lead, Adapted From A Webtoon, Love Triangle, Hardworking Male Lead, (Vote tags)","Kang Min Gu, Kim Seong Yoon",Cho Kwang Jin,697,22,93199,0.88,1
Tale of the Nine Tailed: An Unfinished Story,2020,https://mydramalist.com/680865-tale-of-the-nine-tailed-an-unfinished-story,3,"Nov 18, 2020 - Dec  4, 2020","Nov 18, 2020","Dec  4, 2020","Wednesday, Friday",,10 min.,10,Not Yet Rated,8.4,3360,,Drama Special,"Action, Fantasy, Melodrama","Nine-tailed Fox, Half-brothers' Relationship, Short Length Series, Mythical Being, Adapted From Folklore, Spirit, Miniseries, Reincarnation, Supernatural, Friendship, (Vote tags)",,Han Woo Ri,732,1978,3360,0.23,0
Hospital Playlist Special,2020,https://mydramalist.com/689959-hospital-playlist-special,43,"Jul  9, 2020 - Jun 10, 2021","Jul  9, 2020","Jun 10, 2021",Thursday,,28 min.,28,15+ - Teens 15 or older,8.4,543,,Drama Special,Documentary,"Behind The Scenes, (Vote tags)",Shin Won Ho,Lee Woo Jung,814,7226,543,0.2,0
Tale of the Nine-Tailed,2020,https://mydramalist.com/52995-the-story-of-gumiho,16,"Oct  7, 2020 - Dec  3, 2020","Oct  7, 2020","Dec  3, 2020","Wednesday, Thursday",,1 hr. 10 min.,70,15+ - Teens 15 or older,8.4,64464,"Amazon Prime Video, Netflix, Tubi, Viki, WeTV, iQIYI",Standard Series,"Thriller, Horror, Romance, Fantasy","Nine-tailed Fox, Reincarnation, Supernatural, Mythical Being, Fated Love, Sexual Violence, Age Gap [Drama Life], Age Gap [Real Life], Interspecies Romance, Smart Female Lead, (Vote tags)","Kang Shin Hyo, Jo Nam Hyung",Han Woo Ri,840,52,64464,1,1
My Dear Youth - Coffee Prince,2020,https://mydramalist.com/67605-an-untitled-mbc-documentary-project,2,"Sep 24, 2020 - Oct  1, 2020","Sep 24, 2020","Oct  1, 2020",Thursday,,1 hr. 10 min.,70,15+ - Teens 15 or older,8.4,780,Viki,Drama Special,Documentary,"Miniseries, (Vote tags)",,,877,6353,780,0.33,0
Memorist,2020,https://mydramalist.com/49999-memorist,16,"Mar 11, 2020 - Apr 30, 2020","Mar 11, 2020","Apr 30, 2020","Wednesday, Thursday",,1 hr. 5 min.,65,15+ - Teens 15 or older,8.3,17855,"Tubi, Viki, WeTV, iQIYI",Standard Series,"Action, Thriller, Mystery, Supernatural","Adapted From A Webtoon, Smart Female Lead, Crime, Eccentric Male Lead, Calm Female Lead, Supernatural Power, Investigation, Aggressive Male Lead, Cult, Violence, (Vote tags)","So Jae Hyun, Kim Hwi","An Do Ha, Hwang Ha Na",900,372,17855,0.48,0
Train,2020,https://mydramalist.com/52351-train,12,"Jul 11, 2020 - Aug 16, 2020","Jul 11, 2020","Aug 16, 2020","Saturday, Sunday",,60 min.,60,15+ - Teens 15 or older,8.3,9374,"Tubi, Viki, iQIYI",Standard Series,"Thriller, Mystery, Fantasy","Parallel Dimension, Suspense, Slight Romance, Murder, Death, Crossworlds Traveler, First Love, Orphan Female Lead, Serial Killings, Parallel Worlds, (Vote tags)",Lee Seung Hoon,Park Ga Yun,907,839,9374,0.43,0
My Unfamiliar Family,2020,https://mydramalist.com/55011-we-don-t-know-much-but-we-are-a-family,16,"Jun  1, 2020 - Jul 21, 2020","Jun  1, 2020","Jul 21, 2020","Monday, Tuesday",,1 hr. 15 min.,75,15+ - Teens 15 or older,8.3,4089,"Apple TV+, Netflix, Tubi, Viki, iQIYI",Standard Series,"Life, Family, Melodrama","Family Crisis, Amnesia, Multiple Mains, Mother-Son Relationship, Father-Daughter Relationship, Mother-Daughter Relationship, Father-Son Relationship, Friends To Lovers, Publishing House Setting, Workplace Setting, (Vote tags)",Kwon Young Il,Kim Eun Jung,929,1836,4089,1,1
The Good Detective,2020,https://mydramalist.com/51853-silence,16,"Jul  6, 2020 - Aug 25, 2020","Jul  6, 2020","Aug 25, 2020","Monday, Tuesday",,1 hr. 10 min.,70,15+ - Teens 15 or older,8.3,9139,"Disney+, Netflix, Tubi, Viki",Standard Series,"Action, Thriller, Mystery, Drama","Wrongfully Accused, Corruption, Investigation, Smart Male Lead, Bromance, Murder, Crime, Detective Male Lead, Suspense, Slight Romance, (Vote tags)",Jo Nam Gook,Choi Jin Won,940,983,9139,1,1
Team Bulldog: Off-Duty Investigation,2020,https://mydramalist.com/46661-further-investigation,12,"May 23, 2020 - Jun 28, 2020","May 23, 2020","Jun 28, 2020","Saturday, Sunday",,1 hr. 10 min.,70,15+ - Teens 15 or older,8.3,3911,"Viki, iQIYI",Standard Series,"Action, Mystery, Comedy, Drama","Investigation, Teamwork, Smart Female Lead, Multiple Mains, Eccentric Female Lead, Eccentric Male Lead, Emotionally Strong Female Lead, Police Department Setting, Detective Fiction, Detective Male Lead, (Vote tags)",Kang Hyo Jin,"Lee Yoo Jin, Jung Yoon Sun",1006,1965,3911,0.38,0
Lie After Lie,2020,https://mydramalist.com/54715-lie-of-a-lie,16,"Sep  4, 2020 - Oct 24, 2020","Sep  4, 2020","Oct 24, 2020","Friday, Saturday",,1 hr. 9 min.,69,15+ - Teens 15 or older,8.3,4758,"Apple TV+, Viki",Standard Series,"Thriller, Romance, Melodrama","Nice Male Lead, Father-Daughter Relationship, Wrongfully Accused, Revenge, Hidden Identity, Domestic Violence, Mother-Daughter Relationship, Rich Family, Murder, Orphan Female Lead, (Vote tags)",Kim Jung Kwon,Kim Ji Eun,1017,1566,4758,0.68,1
The World of the Married,2020,https://mydramalist.com/39975-the-married-life,16,"Mar 27, 2020 - May 16, 2020","Mar 27, 2020","May 16, 2020","Friday, Saturday",,1 hr. 20 min.,80,18+ Restricted (violence & profanity),8.3,21845,"Amazon Prime Video, Disney+, Netflix, WeTV, iQIYI",Standard Series,"Thriller, Romance, Drama, Melodrama","Extramarital Affair, Revenge, Sexual Content, Successful Female Lead, Unhealthy Mains' Relationship, Friends To Enemies, Pregnancy, Psychological, Suspense, Rich Female Lead, (Vote tags)",Mo Wan Il,Joo Hyun,1021,268,21845,1,1
Amanza,2020,https://mydramalist.com/51177-amanza,10,"Sep  1, 2020 - Nov  3, 2020","Sep  1, 2020","Nov  3, 2020",Tuesday,,15 min.,15,15+ - Teens 15 or older,8.3,1286,Viki,Standard Series,"Adventure, Life, Fantasy, Melodrama","Cancer, Dream World, Mixed Live Action-Animation, Tearjerker, Terminal Illness, Adapted From A Webtoon, Web Series, Supportive Significant Other, Mental Illness, Family Relationship, (Vote tags)",Han Ji Won,Kwak Jae Min,1022,3365,1286,0.33,0
True Beauty,2020,https://mydramalist.com/38627-true-beauty,16,"Dec  9, 2020 - Feb  4, 2021","Dec  9, 2020","Feb  4, 2021","Wednesday, Thursday",,1 hr. 15 min.,75,15+ - Teens 15 or older,8.3,123828,"Amazon Prime Video, Apple TV+, Netflix, Viki",Standard Series,"Comedy, Romance, Youth, Drama","Makeover, Popular Male Lead, High School, Adapted From A Webtoon, Beauty Standards, Hidden Identity, Nice Female Lead, Transformation, Secret Crush, Love Triangle, (Vote tags)",Kim Sang Hyub,Lee Shi Eun,1055,12,123828,1,1
Extracurricular,2020,https://mydramalist.com/34221-human-lessons,10,"Apr 29, 2020","Apr 29, 2020",,Wednesday,,55 min.,55,18+ Restricted (violence & profanity),8.3,49685,Netflix,Standard Series,"Psychological, Crime, Youth, Drama","Sex Trafficking, Prostitution, Illegal Business, High School, Smart Male Lead, Violence, Rich Female Lead, School Bullying, Slight Romance, Child Abandonment, (Vote tags)",Kim Jin Min,Jin Han Sae,1100,100,49685,0.83,1
Birthcare Center,2020,https://mydramalist.com/58367-postnatal-care-center,8,"Nov  2, 2020 - Nov 24, 2020","Nov  2, 2020","Nov 24, 2020","Monday, Tuesday",,1 hr. 5 min.,65,15+ - Teens 15 or older,8.3,5148,"Netflix, Tubi, Viki, WeTV, iQIYI",Standard Series,"Comedy, Life, Drama, Melodrama","Motherhood, Older Woman/Younger Man, Sismance, Black Comedy, Hardworking Female Lead, Independent Female Lead, Multiple Mains, Pregnancy, Miniseries, Stubborn Female Lead, (Vote tags)",Park Soo Won,"Kim Ji Soo, Yoon Soo Min, Im Yeon Soo",1103,1740,5148,1,1
Tell Me What You Saw,2020,https://mydramalist.com/39017-call-it-like-you-see-it,16,"Feb  1, 2020 - Mar 22, 2020","Feb  1, 2020","Mar 22, 2020","Saturday, Sunday",,60 min.,60,15+ - Teens 15 or older,8.2,8711,"Tubi, Viki",Standard Series,"Thriller, Mystery","Murder, Photographic Memory, Trauma, Disability, Revenge, Hardworking Female Lead, Inchoate Crime, Emotionally Strong Female Lead, Difficult Adulthood, Special Ability, (Vote tags)",Lee Joon Hyeong,Ko Yeong Jae,1260,995,8711,0.38,0
Awaken,2020,https://mydramalist.com/53875-day-and-night,16,"Nov 30, 2020 - Jan 19, 2021","Nov 30, 2020","Jan 19, 2021","Monday, Tuesday",,1 hr. 10 min.,70,15+ - Teens 15 or older,8.2,9205,"Netflix, Tubi, Viki, WeTV, iQIYI",Standard Series,"Thriller, Mystery, Crime, Fantasy","Psychology, Eccentric Male Lead, Teamwork, Hot-tempered Female Lead, Trauma, Orphan Male Lead, Hidden Identity, Amnesia, Boss-Employee Relationship, Hidden Past, (Vote tags)","Jo Soo Won, Lee Soo Hyun",Shin Yoo Dam,1273,866,9205,1,1
Find Me in Your Memory,2020,https://mydramalist.com/50941-the-man-s-memory,32,"Mar 18, 2020 - May 13, 2020","Mar 18, 2020","May 13, 2020","Wednesday, Thursday",,35 min.,35,15+ - Teens 15 or older,8.2,16730,"Apple TV+, Netflix, Viki",Standard Series,"Romance, Drama, Melodrama","Hyperthymesia, Female Chases Male First, Nice Female Lead, Healing, Smart Male Lead, Trauma, Nice Male Lead, Entertainment Industry, Death, Heartbreak, (Vote tags)","Oh Hyun Jong, Lee Soo Hyun",Kim Yoon Joo,1535,414,16730,1,1
XX,2020,https://mydramalist.com/42045-blue-moon,10,"Jan 24, 2020 - Feb 21, 2020","Jan 24, 2020","Feb 21, 2020",Friday,,25 min.,25,15+ - Teens 15 or older,8.2,7646,Viki,Standard Series,"Business, Romance, Life, Drama","Independent Female Lead, Infidelity, Nice Male Lead, Sismance, Web Series, Heartbreak, Boss-Employee Relationship, Male Chases Female First, Revenge, Friends To Enemies, (Vote tags)",Kim Joon Mo,Lee Seul,1574,1166,7646,0.33,0
When the Weather Is Fine,2020,https://mydramalist.com/39601-i-ll-go-to-you-when-the-weather-is-nice,16,"Feb 24, 2020 - Apr 21, 2020","Feb 24, 2020","Apr 21, 2020","Monday, Tuesday",,60 min.,60,15+ - Teens 15 or older,8.2,24207,"Apple TV+, Disney+, Hulu, Netflix, Viki, WeTV, iQIYI",Standard Series,"Romance, Life, Drama, Melodrama","Secret Crush, Healing, Slow Burn Romance, Adapted From A Novel, Return To Hometown, Nice Male Lead, Calm Male Lead, Flashback To Past, Slow Burn Story, Bromance, (Vote tags)",Han Ji Seung,Han Ga Ram,1590,210,24207,1,1
The King: Eternal Monarch,2020,https://mydramalist.com/35039-the-king-the-eternal-monarch,16,"Apr 17, 2020 - Jun 12, 2020","Apr 17, 2020","Jun 12, 2020","Friday, Saturday",,1 hr. 10 min.,70,15+ - Teens 15 or older,8.2,66624,Netflix,Standard Series,"Mystery, Romance, Drama, Sci-Fi","Parallel Universe, Doppelganger, Royalty, Male Chases Female First, Murder, Male Lead Saves Female Lead, Monarchy, Treason, Rich Male Lead, Bromance, (Vote tags)","Baek Sang Hoon, Yoo Je Won, Jung Ji Hyun",Kim Eun Sook,1610,58,66624,0.88,1
Hyena,2020,https://mydramalist.com/36297-hyena,16,"Feb 21, 2020 - Apr 11, 2020","Feb 21, 2020","Apr 11, 2020","Friday, Saturday",,1 hr. 1 min.,61,15+ - Teens 15 or older,8.2,8302,Netflix,Standard Series,"Mystery, Comedy, Law, Romance","Badass Female Lead, Older Woman/Younger Man, Successful Female Lead, Love/Hate Relationship, Age Gap [Real Life], Smart Male Lead, Investigation, Sismance, Corruption, Rivalry, (Vote tags)",Jang Tae Yoo,Kim Roo Ri,1643,903,8302,0.78,1
Search,2020,https://mydramalist.com/51325-the-search,10,"Oct 17, 2020 - Nov 15, 2020","Oct 17, 2020","Nov 15, 2020","Saturday, Sunday",,60 min.,60,15+ - Teens 15 or older,8.1,8234,"Tubi, Viki, iQIYI",Standard Series,"Military, Thriller, Mystery, Horror","Police Dog, Investigation, Virus, Survival, Demilitarized Zone (DMZ), Suspense, Sergeant Male Lead, Soldier Male Lead, Gun Violence, Slight Romance, (Vote tags)",Im Dae Woong,"Goo Mo, Go Myung Joo",1698,988,8234,0.38,0
Run On,2020,https://mydramalist.com/58651-run-on,16,"Dec 16, 2020 - Feb  4, 2021","Dec 16, 2020","Feb  4, 2021","Wednesday, Thursday",,1 hr. 10 min.,70,15+ - Teens 15 or older,8.1,57139,Netflix,Standard Series,"Romance, Life, Drama, Sports","Calm Male Lead, Multiple Couples, Nice Male Lead, Hardworking Female Lead, Eccentric Male Lead, Smart Female Lead, Famous Male Lead, Father-Son Relationship, Translator Female Lead, Healing, (Vote tags)",Lee Jae Hoon,Park Si Hyeon,1787,79,57139,0.83,1
My Holo Love,2020,https://mydramalist.com/32406-me-alone-and-you,12,"Feb  7, 2020","Feb  7, 2020",,Friday,,55 min.,55,15+ - Teens 15 or older,8.1,38311,Netflix,Standard Series,"Romance, Drama, Sci-Fi, Melodrama","Artificial Intelligence, Hologram, Prosopagnosia, Nice Female Lead, Hardworking Female Lead, Hidden Identity, Rich Male Lead, Love Triangle, Brother-Sister Relationship, Flashback To Past, (Vote tags)","Lee Sang Yeob, Yoon Jong Ho","Ryu Yong Jae, Kim Hwan Chae, Choi Sung Joon",1819,189,38311,0.78,1
Zombie Detective,2020,https://mydramalist.com/61063-zombie-detective,24,"Sep 21, 2020 - Oct 27, 2020","Sep 21, 2020","Oct 27, 2020","Monday, Tuesday",,30 min.,30,15+ - Teens 15 or older,8.1,11155,Viki,Standard Series,"Thriller, Mystery, Comedy, Fantasy","Investigation, Nice Male Lead, Suspense, Zombies, Drama, Horror, Emotionally Strong Female Lead, Emotionally Strong Male Lead, Villain Supporting Character, Writer Female Lead, (Vote tags)",Shim Jae Hyun,Baek Eun Jin,1872,732,11155,0.25,0
A Piece of Your Mind,2020,https://mydramalist.com/38491-half-of-half,12,"Mar 23, 2020 - Apr 28, 2020","Mar 23, 2020","Apr 28, 2020","Monday, Tuesday",,1 hr. 11 min.,71,15+ - Teens 15 or older,8.1,15627,"Apple TV+, Tubi, Viki, WeTV, iQIYI",Standard Series,"Romance, Life, Drama, Melodrama","Healing, Slow Burn Romance, Artificial Intelligence, Slow Burn Story, Age Gap [Real Life], Character Development, Depression, Successful Male Lead, Nice Male Lead, Music, (Vote tags)",Lee Sang Yeob,Lee Sook Yun,1876,409,15627,0.78,1
Into the Ring,2020,https://mydramalist.com/55675-the-ballot,32,"Jul  1, 2020 - Aug 20, 2020","Jul  1, 2020","Aug 20, 2020","Wednesday, Thursday",,35 min.,35,15+ - Teens 15 or older,8.1,8047,"Netflix, Viki",Standard Series,"Comedy, Romance, Drama, Political","Eccentric Female Lead, Hardworking Male Lead, Nice Male Lead, Aggressive Female Lead, Corruption, Sassy Female Lead, Hot-tempered Female Lead, Friends To Lovers, Slow Burn Romance, Power Struggle, (Vote tags)","Hwang Seung Gi, Choi Yeon Soo",Moon Hyun Kyung,1919,967,8047,0.8,1
Start-Up,2020,https://mydramalist.com/51909-sandbox,16,"Oct 17, 2020 - Dec  6, 2020","Oct 17, 2020","Dec  6, 2020","Saturday, Sunday",,1 hr. 25 min.,85,15+ - Teens 15 or older,8.1,67786,Netflix,Standard Series,"Business, Comedy, Romance, Youth","Competition, Unrequited Love, Hardworking Male Lead, Hardworking Female Lead, Artificial Intelligence, Nice Female Lead, Love Triangle, Grandma-Granddaughter Relationship, Sibling Rivalry, Time Skip, (Vote tags)",Oh Choong Hwan,Park Hye Ryun,1958,57,67786,0.83,1
